index,证券代码,open,close,high,high_limit,成交额_亿,auction_pct,prev_limit_up,next_open,次日收益率_pct
2026-04-16,002805.XSHE,17.9,18.51,19.37,19.37,9.56,1.6467915956842605,0,18.59,0.432198811453266
2026-04-16,301382.XSHE,36.88,40.49,42.0,42.0,21.27,5.3714285714285825,0,39.41,-2.6673252654976665
2026-04-16,603335.XSHG,5.97,6.26,6.48,6.48,2.44,1.3582342954159499,0,6.33,1.1182108626198062
2026-04-16,002240.XSHE,47.74,49.8,50.9,50.9,43.07,3.177004538577899,0,49.58,-0.4417670682730912
2026-04-16,603399.XSHG,12.05,12.97,13.26,13.26,11.47,0.0,0,13.09,0.9252120277563503
2026-04-16,000889.XSHE,4.57,5.0,5.21,5.21,16.16,-3.5864978902953593,1,4.85,-3.0000000000000027
2026-04-16,002361.XSHE,18.5,19.26,20.39,20.39,89.92,-0.21574973031283085,1,18.8,-2.3883696780893082
2026-04-16,300088.XSHE,6.77,7.72,8.11,8.11,58.11,0.14792899408284654,0,7.47,-3.2383419689119175
2026-04-16,002630.XSHE,2.15,2.13,2.22,2.22,2.3,1.8957345971563955,1,2.13,0.0
2026-04-16,002762.XSHE,7.8,7.77,7.88,7.88,1.14,4.0000000000000036,0,7.72,-0.6435006435006385
2026-04-16,002663.XSHE,2.2,2.3,2.38,2.38,3.15,1.85185185185186,0,2.33,1.3043478260869712
2026-04-16,300290.XSHE,14.25,16.39,17.1,17.1,15.3,0.0,0,16.23,-0.9762050030506453
2026-04-16,600238.XSHG,4.36,4.6,4.78,4.78,1.19,-4.175824175824161,1,4.65,1.0869565217391353
2026-04-16,603629.XSHG,87.95,95.85,96.75,96.75,52.27,0.0,1,96.61,0.7929055816379815
2026-04-16,002305.XSHE,2.28,2.36,2.39,2.39,1.29,0.0,0,2.36,0.0
2026-04-16,600664.XSHG,4.7,4.4,4.88,4.88,28.33,5.8558558558558405,1,4.25,-3.409090909090917
2026-04-16,603061.XSHG,231.64,245.98,252.84,252.84,12.6,0.7787687622362371,0,250.9,2.0001626148467455
2026-04-17,000751.XSHE,5.62,5.76,6.02,6.02,10.18,2.742230347349195,0,6.09,5.729166666666674
2026-04-17,600776.XSHG,15.55,16.74,17.18,17.18,14.49,-0.4481434058898781,0,16.95,1.2544802867383575
2026-04-17,301090.XSHE,7.78,9.01,9.3,9.3,6.6,0.3870967741935516,0,8.7,-3.440621531631527
2026-04-17,000628.XSHE,58.45,61.19,64.31,64.31,15.98,-0.017105713308240844,0,62.11,1.5035136460205933
2026-04-17,002687.XSHE,5.07,4.98,5.29,5.29,2.88,5.405405405405417,0,5.1,2.409638554216853
2026-04-17,688530.XSHG,31.78,35.75,37.96,37.96,7.81,0.4742333227948148,0,34.58,-3.2727272727272827
2026-04-17,000062.XSHE,29.42,29.68,31.39,31.39,25.73,3.083391730903995,0,30.82,3.840970350404316
2026-04-17,002860.XSHE,12.8,13.9,14.18,14.18,6.65,-0.6982156710628407,0,13.94,0.2877697841726645
2026-04-17,600773.XSHG,21.55,22.47,23.23,23.23,13.64,2.0359848484848397,0,22.55,0.3560302625723377
2026-04-17,600173.XSHG,7.43,7.99,8.16,8.16,5.63,0.13477088948787852,0,8.05,0.7509386733416834
